"AMC20YOKEUBK      ","U-BOLT YOKE KIT",69           
"AM20BK            ","AXLE BEARING KT",32           
"AP1000            ","ACTUATOR PIN   ",1243         
"AP2000            ","IGNITION PIN   ",752          
"AXGS              ","GASKET+SEAL KIT",61           
"AX15BK            ","BRG & SEAL KIT ",26           
"AX15GS            ","GASKET+SEAL KIT",128          
"AX15MASKIT        ","TRANS. OVERHAUL",-8           
"AX4EAX5EMASKIT    ","TRANS. OVERHAUL",14           
"AX5SP             ","AX5 SMALL PARTS",-1           
"AX55X2            ","5TH GEAR KIT   ",3            
"AX5LMASKIT        ","TRANS. OVERHAUL",-5           
"A1000             ","WASHER         ",3356         
"A10469            ","GEAR, MAINSHAFT",145          
"A1106             ","YOKE           ",-15          
"A1197             ","HOSE,OIL FILTER",389          
"A1198             ","HOSE,OIL FILTER",1150         
"A1242             ","HANDLE, BRAKE  ",2            
"A1301             ","CABLE, CHOKE   ",0            
"A1397             ","BOLT           ",550          
"A1445             ","YOKE           ",125          
"A147              ","BOLT           ",23493        
"A15044            ","GEAR, OUTPUT, F",-2           
"A15045            ","GEAR, OUTPUT, F",151          
"A1542             ","GASKET KIT     ",48           
"A1583             ","BUSHING        ",8472         
"A17702            ","DRIVE, STARTER ",106          
"A2250             ","WEATHERSTRIP   ",2054         
"A2389             ","HANDLE, CORNER ",117          
"A2586             ","WIPER ASSEMBLY ",336          
"A2754             ","BRACKET, TOP   ",70           
"A2934B            ","MIRROR ARM     ",32           
"A2934CR           ","MIRROR HEAD    ",144          
"A3051             ","SOCKET, DOOR   ",243          
"A3051K            ","SOCKET KIT     ",73           
"A3110             ","STRAP, BOW     ",40           
"A410              ","WASHER         ",601          
"A4127             ","STRAP SET      ",156          
"A474              ","BOLT, HUB RIGHT",21210        
"A490K             ","U-BOLT KIT     ",607          
"A495              ","SHAFT, PEDAL   ",3            
"A500              ","BRACKET        ",243          
"A519              ","MAINSHAFT      ",60           
"A5294             ","ROTOR          ",5            
"A5295             ","CAP, DISTRIBUTO",38           
"A5554             ","SHAFT,MAINDRIVE",256          
"A556              ","MASTER CYLINDER",168          
"A568              ","PLATE          ",26           
"A6118             ","MUFFLER        ",19           
"A612              ","SPRING ASSY    ",132          
"A614              ","LEAF SPRING, R ",129          
"A6318             ","SYNCHRONIZER   ",0            
"A633              ","NUT, STRG.WHEEL",574          
"A6742K            ","KIT, HORN      ",891          
"A6746             ","MAIN BEARING SE",3            
"A6747             ","MAIN BEARING SE",7            
"A6748             ","MAIN BEARING SE",4            
"A6760             ","SHIMS, STEERING",3295         
"A6798             ","MAIN BEARING SE",9            
"A679840           ","MAIN BRG.SET.04",2            
"A692N             ","SOCKET, SPINDLE",700          
"A7225             ","SWITCH, STARTER",71           
"A7234             ","BEARING, CONN. ",16           
"A7235             ","BEARING, CONN. ",13           
"A7236             ","BEARING, CONN. ",0            
"A7237             ","BEARING, CONN. ",16           
"A739              ","CLUSTER GEAR   ",16           
