Number,Width,Length,Height,Price,Description,Weight
RT34045,25.75,46.50,4.75,160.85,"Grille Overlay Kit",10.60
4006698K,2.50,2.50,0.75,6.5,"Universal Joint Strap Kit",0.20
8133885K,10.50,35.00,3.50,153.33,"Axle Shaft Assembly",22.00
68084595AA,5.00,5.00,2.00,23.33,"Axle Shaft Seal",0.40
RT21011,2.00,36.00,2.00,164.67,"Steering Shaft",5.30
5012584K,2.75,4.75,2.25,60,"Crankshaft Main Bearing Set",0.80
RT31006,18.25,24.00,11008.25,678.33,"Disc Brake Conversion Kit",56.00
3223539KL,4.50,8.00,6.00,98.33,"Rocker Arm Kit",6.20
5012362AC,7.00,13.75,3.00,250,"Piston & Rod Kit",2.90
RT21044,3.50,8.00,1.75,33.33,"Sway Bar Link Kit",1.70
52087835AB,5.25,21.75,4.00,50.27,"Shock Absorber",4.80
52088870AA,12.00,3.50,4.00,25,"Tie Rod End",2.10
52019201K,4.00,6.00,8.00,51.67,"Engine Mount Kit",6.20
4210973,1.50,1.50,0.25,1.67,"Yoke Washer Seal",0.10
55176636K2,7.00,7.00,5.00,35,"Hood Catch Kit",0.80
4683656,2.00,2.00,1.25,8,"Brake Master Cylinder Cap",0.10
83501167MK,4.25,9.75,3.25,61.67,"Brake Pad Service Kit",4.60
83500698,4.00,4.25,4.00,13.33,"CV Joint Boot Kit",0.60
RT28012,4.00,8.00,4.00,41.67,"Parking Light Kit",0.60
5149077AB,1.25,3.50,1.25,10.83,"Temperature Sensor",0.10
5099840AA,2.50,2.50,0.38,7.5,"Input Seal",0.10
RT21029,8.25,28.00,8.25,383.33,"Lift Master Kit",32.00
7072441X,8.25,12.25,6.75,358.33,"Ring & Pinion Kit",14.80
3641913,0.75,2.25,0.12,3.33,"Key Blank",0.10
4762121,0.50,1.50,0.50,0.83,"Parking Brake Adjuster Plug",0.10
8133818MK44,7.50,13.50,4.25,71.67,"Brake Shoe Service Kit",6.40
D30EPBK,6.00,6.50,3.00,98.33,"Pinion Bearing Kit",2.60
RT28007,10.25,10.25,3.50,11.67,"LED Utility Light",0.88
RT27014,4.00,4.50,0.50,16,"Windshield Bracket Set",0.60
RT26049,3.00,18.50,2.00,23.33,"Entry Guard Set",1.20
55155624AC,6.25,4.25,8.00,48.33,"Tail Light",1.40
RT26046,8.00,53.00,4.00,165,"Rocker Panel Guard Set",24.00
941888,4.50,4.50,2.00,46.67,"Piston Ring Set",0.40
5103016AB,11.50,11.50,6.00,633.33,"Ring & Pinion Kit",14.40
5086002K,5.00,10.00,2.00,103.33,"Piston Ring Set",0.70
RT21017,6.00,36.00,3.50,165,"HD Track Bar",8.80
