Number,Vendor,Length,Width,Height,Price,Description,Weight
RT34045,Crown,46.50,25.75,4.75,160.85,"Grille Overlay Kit",10.60
4006698K,Crown,2.50,2.50,0.75,6.5,"Universal Joint Strap Kit",0.20
8133885K,Crown,35.00,10.50,3.50,153.33,"Axle Shaft Assembly",22.00
68084595AA,Crown,5.00,5.00,2.00,23.33,"Axle Shaft Seal",0.40
RT21011,Crown,36.00,2.00,2.00,164.67,"Steering Shaft",5.30
5012584K,Crown,4.75,2.75,2.25,60,"Crankshaft Main Bearing Set",0.80
RT31006,Crown,24.00,18.25,11008.25,678.33,"Disc Brake Conversion Kit",56.00
3223539KL,Crown,8.00,4.50,6.00,98.33,"Rocker Arm Kit",6.20
5012362AC,Crown,13.75,7.00,3.00,250,"Piston & Rod Kit",2.90
RT21044,Crown,8.00,3.50,1.75,33.33,"Sway Bar Link Kit",1.70
52087835AB,Crown,21.75,5.25,4.00,50.27,"Shock Absorber",4.80
52088870AA,Crown,3.50,12.00,4.00,25,"Tie Rod End",2.10
52019201K,Crown,6.00,4.00,8.00,51.67,"Engine Mount Kit",6.20
4210973,Crown,1.50,1.50,0.25,1.67,"Yoke Washer Seal",0.10
55176636K2,Crown,7.00,7.00,5.00,35,"Hood Catch Kit",0.80
4683656,Crown,2.00,2.00,1.25,8,"Brake Master Cylinder Cap",0.10
83501167MK,Crown,9.75,4.25,3.25,61.67,"Brake Pad Service Kit",4.60
83500698,Crown,4.25,4.00,4.00,13.33,"CV Joint Boot Kit",0.60
RT28012,Crown,8.00,4.00,4.00,41.67,"Parking Light Kit",0.60
5149077AB,Crown,3.50,1.25,1.25,10.83,"Temperature Sensor",0.10
5099840AA,Crown,2.50,2.50,0.38,7.5,"Input Seal",0.10
RT21029,Crown,28.00,8.25,8.25,383.33,"Lift Master Kit",32.00
7072441X,Crown,12.25,8.25,6.75,358.33,"Ring & Pinion Kit",14.80
3641913,Crown,2.25,0.75,0.12,3.33,"Key Blank",0.10
4762121,Crown,1.50,0.50,0.50,0.83,"Parking Brake Adjuster Plug",0.10
8133818MK44,Crown,13.50,7.50,4.25,71.67,"Brake Shoe Service Kit",6.40
D30EPBK,Crown,6.50,6.00,3.00,98.33,"Pinion Bearing Kit",2.60
RT28007,Crown,10.25,10.25,3.50,11.67,"LED Utility Light",0.88
RT27014,Crown,4.50,4.00,0.50,16,"Windshield Bracket Set",0.60
RT26049,Crown,18.50,3.00,2.00,23.33,"Entry Guard Set",1.20
55155624AC,Crown,4.25,6.25,8.00,48.33,"Tail Light",1.40
RT26046,Crown,53.00,8.00,4.00,165,"Rocker Panel Guard Set",24.00
941888,Crown,4.50,4.50,2.00,46.67,"Piston Ring Set",0.40
5103016AB,Crown,11.50,11.50,6.00,633.33,"Ring & Pinion Kit",14.40
5086002K,Crown,10.00,5.00,2.00,103.33,"Piston Ring Set",0.70
RT21017,Crown,36.00,6.00,3.50,165,"HD Track Bar",8.80
4864651,Crown,2.50,2.25,2.00,30,"Lock Cylinder",0.20
68030940AA,Crown,3.50,3.00,2.75,30,"Fuel Cap",0.30
52059252K,Crown,12.00,8.50,7.00,148.33,"Engine Mount Kit",23.00
6503198,Crown,8.00,0.75,0.75,7.5,"Drive Belt Tensioner Bolt",0.10
55135898AE,Crown,29.50,1.50,1.00,21.67,"Door Glass Weatherstrip",0.44
53021569AD,Crown,2.75,1.50,0.50,5.67,"Spark Plug Well Gasket",0.10
68031478AA,Crown,15.00,5.00,2.25,125,"Timing Belt Kit",1.20
5085220AC,Crown,27.00,4.50,1.50,125,"Axle Shaft Assembly",14.60
5139933AB,Crown,12.00,8.00,7.50,14.17,"Timing Cover Gasket",0.90
5093820AB,Crown,3.50,3.50,1.25,46.67,"Universal Joint",1.40
RT34047,Crown,9.00,7.00,2.25,63.33,"Stone Guard Set",1.30
4746127,Crown,1.75,1.75,0.75,10.42,"Input Shaft Bearing",0.10
56042299AG,Crown,8.00,6.00,4.25,73.33,"Multifunction Switch",0.60
5115047AH,Crown,13.00,9.00,6.00,93.33,Mirror,3.40
4596198,Crown,2.50,2.50,1.50,10.83,"Coolant Bottle Cap",0.20
640784,Crown,1.75,1.75,0.25,0.75,"Input Shaft Snap Ring",0.10
53032763AA,Crown,5.00,5.00,1.00,8.5,"Throttle Body Gasket",0.10
5363421H,Crown,8.00,7.50,4.00,75,Hub,7.40
RT27036,Crown,20.50,3.00,2.50,36,"Interior Door Accent Set",0.60
RT25001,Crown,30.50,14.00,6.00,297.5,"Door Surround Kit",13.00
RT31011,Crown,18.00,13.25,8.50,475,"HD Brake Booster Kit",18.60
53022009AA,Crown,6.00,6.00,1.00,9.17,"Valve Cover Gasket",0.20
55155628AB,Crown,3.75,3.50,1.75,9.17,"Side Marker Light",0.10
5139719AA,Crown,3.75,3.50,1.75,21.67,"Blower Motor Resistor",0.10
55116813AA,Crown,7.50,7.50,4.50,81.67,"Fan Clutch",3.10
53020827AB,Crown,7.00,6.00,5.00,91.67,"Oil Pump",2.60
5303843AB,Crown,10.50,10.50,10.50,98.33,Headlight,3.40
RT26015,Crown,52.50,13.50,4.25,191.67,"Side Steps",24.00
52125112AE,Crown,14.50,14.25,6.50,98.33,"Control Arm",10.00
392909,Crown,0.75,0.50,0.50,0.67,"Grease Fitting",0.10
52114076AA,Crown,33.00,1.50,1.50,96.67,"Axle Shaft",12.50
68003705AA,Crown,3.25,3.25,1.25,10.83,"Brake Pad Spring Kit",0.10
53008283,Crown,1.25,1.00,1.00,1.25,"Rocker Arm Pivot",0.10
4659677AC,Crown,5.00,4.50,2.50,32.5,"Neutral Safety Switch",0.20
53003803,Crown,8.00,8.00,8.00,233.33,Alternator,9.60
J8130364,Crown,1.00,1.00,0.50,3.17,"Castle Nut",0.10
4666034AB,Crown,17.00,7.00,0.25,23.33,"Cylinder Head Gasket",0.40
810585,Crown,1.00,12.00,22.00,56.67,"Complete Engine Gasket Set",1.30
55395243AB,Crown,59.50,5.25,4.00,10,"Hood Weatherstrip",1.00
XY1992S,Crown,15.00,14.50,5.00,308.33,"Clutch Kit",21.10
52099499AG,Crown,42.00,5.50,5.50,400,"Drive Shaft",19.50
4713356,Crown,3.50,3.25,1.50,6.33,"Drum Brake Adjuster",0.30
800093K,Crown,3.50,3.00,1.00,15,"Crankshaft Seal Kit",0.10
2944580,Crown,4.00,0.75,0.50,1.42,"Drum Brake Adjuster Spring",0.10
RT20019,Crown,72.00,8.00,14.00,258.33,"Tube Bumper",30.00
8127079K,Crown,36.00,8.00,8.00,158.33,"Axle Shaft Assembly",22.00
53000899,Crown,2.50,1.00,0.50,8.17,"Coil Spring Retainer",0.10
83502719,Crown,3.00,3.00,2.00,17.33,"Blower Motor Switch",0.20
55177200AF,Crown,66.00,52.00,8.00,291.67,Hood,43.00
83502633,Crown,34.00,21.00,13.50,166.67,"Fuel Tank",20.00
FW80PX9,Crown,5.50,2.00,1.50,8.17,"Window Handle",0.10
52100216,Crown,30.00,1.50,1.50,23.33,"Fuel Tank Strap",1.00
52125321AB,Crown,18.50,3.50,3.00,36.67,"Control Arm",3.80
4606824AC,Crown,8.00,2.50,2.50,30,"Ignition Coil",0.50
4861756AA,Crown,11.00,10.00,2.75,20,"Air Filter",0.90
5758254C,Crown,8.00,6.00,4.00,56.67,"Tail Light",1.20
52126114AC,Crown,12.00,4.50,3.25,40,"Tie Rod End",3.30
83500896,Crown,4.75,4.75,2.00,49.17,"Brake Master Cylinder Repair Kit",0.40
RT21037,Crown,12.00,8.25,6.75,125,"Lift & Level Kit",11.10
52088433,Crown,4.75,2.75,5.25,9.67,"Control Arm Bushing",0.90
33002971,Crown,1.50,1.50,0.12,0.92,"Oil Filter Adapter O-Ring",0.10
639265,Crown,3.25,3.25,0.50,4,"Pinion Seal",0.30
6101523,Crown,1.75,1.50,0.50,0.75,Fuse,0.10
55056635AA,Crown,34.50,21.00,7.00,260,"A/C Condenser & Transmission Cooler",9.00
53022095AF,Crown,12.50,4.50,4.50,120,"Water Pump",7.00
5066539AA,Crown,8.00,6.00,4.25,133.33,"Differential Carrier Shim Kit",4.80
4723035,Crown,23.00,4.00,3.00,93.33,"Shock Absorber",5.40
5066486AA,Crown,4.50,4.00,0.25,46.67,"Axle Shaft Retainer",0.40
4612277,Crown,12.00,4.00,1.00,36.67,"Accessory Drive Belt",0.50
3766674,Crown,1.00,0.50,0.50,1.5,"Bleeder Screw",0.10
RT31027,Crown,12.75,12.50,4.75,300,"Disc Brake Service Kit",39.00
5273438AE,Crown,40.00,4.50,4.50,141.67,"Axle Shaft Assembly",17.60
RT34080,Crown,9.00,8.00,4.00,83.33,"Tail Light Guard Set",2.00
RT31023,Crown,18.00,13.50,8.50,475,"HD Brake Booster Kit",18.10
68033237AB,Crown,29.00,26.50,8.50,283.33,"A/C Condenser & Transmission Cooler",11.40
942115K,Crown,4.50,4.50,2.00,35,"Intermediate Shaft Kit",2.50
A9332,Crown,9.00,9.00,3.00,65,"Parking Brake Drum",6.10
68019927AA,Crown,3.50,3.75,1.75,10.83,"Pinion Seal",0.20
33003520,Crown,5.00,1.50,1.50,21.67,"Exhaust Valve",0.20
53013599AB,Crown,22.25,6.00,6.00,106.67,"Exhaust Manifold",9.00
WT150K,Crown,3.25,3.25,1.25,6,"Synchronizer Key & Spring Kit",0.06
83300077,Crown,17.00,14.50,1.50,10,"Transmission Filter Kit",0.80
RT26069,Crown,9.25,4.00,1.50,35,"Hood Lock",0.80
RT26059,Crown,57.00,10.50,7.25,250,"Side Steps",36.00
68191349AA,Crown,7.00,2.25,2.00,7.5,"Oil Filter",0.20
2421306,Crown,2.75,1.75,1.00,15,"Connection Rod Bearing",0.10
RT28043,Crown,8.00,5.75,1.50,73.5,"LED Dome Light Kit",0.20
RT30014,Crown,6.25,5.25,2.50,21.75,"Mirror Relocation Bracket Set",2.30
RT30011,Crown,7.75,7.25,5.50,63.33,"Mirror Kit",3.60
5191268AA,Crown,6.50,6.00,3.00,75,"Brake Caliper",3.60
68079375AB,Crown,2.50,2.00,2.00,25.83,"Crankshaft Position Sensor",0.06
6506214AA,Crown,1.25,1.25,1.25,4.17,"Engine Oil Drain Plug",0.10
5183523AA,Crown,7.00,7.00,5.50,96.67,"Pinion Flange",4.70
4854038,Crown,28.00,4.00,0.25,23.33,"Manifold Gasket",0.50
927417,Crown,18.00,18.00,3.00,73.33,"Steering Wheel",3.80
53020742AC,Crown,3.50,1.25,1.25,20,"Rocker Arm",0.30
53022340AC,Crown,14.50,14.00,4.75,126.67,"Water Pump",7.00
68059645AA,Crown,22.00,20.00,3.25,123.33,"Window Regulator",4.50
55395578K,Crown,14.25,13.75,3.25,45.83,"Windshield Bracket Set",4.60
52000089,Crown,12.00,9.50,6.00,400,"Steering Box",16.40
55054577,Crown,6.50,6.75,12.25,108.33,Headlight,2.50
53020749AC,Crown,2.50,2.00,2.00,6.67,"Valve Spring",0.20
5072526AB,Crown,9.50,7.00,4.50,116.67,"Brake Master Cylinder",2.00
68040177AA,Crown,13.50,13.50,2.50,75,"Brake Rotor",22.00
RT20006,Crown,50.00,20.00,7.00,225,"Tube Bumper",36.00
AM20BK,Crown,12.75,12.75,1.50,165,"Differential Overhaul Kit",4.60
RT26082,Crown,8.00,7.75,2.00,24,"Fuel Door",1.00
RT28105,Crown,10.50,10.50,10.00,325,"Led Headlight Kit",6.20
4798992AD,Crown,22.75,10.75,1.75,51.67,"Engine Gasket Set",1.20
5356651K,Crown,25.50,5.25,4.25,61.67,"Fuel Tank Strap Kit",3.30
4694766,Crown,3.50,1.75,1.75,11.67,"Power Steering Reservoir Cap",0.10
55135879AF,Crown,30.50,1.50,0.75,21.67,"Door Glass Weatherstrip",0.70
4638844,Crown,4.00,4.00,4.00,31.67,"Shifting Sector",1.10
68003698AA,Crown,3.25,3.25,3.25,20,"Brake Caliper Rebuild Kit",0.60
RT28022,Crown,6.50,6.00,3.00,20.83,"Parking Light",0.40
RT27048,Crown,10.00,5.00,2.25,12.63,"Grab Handle Set",1.19
RT31012,Crown,15.00,14.50,6.50,266.67,"Performance Brake Kit",35.00
5KFK,Crown,54.00,19.00,13.00,298.33,"Fender Flare Kit",17.60
5073945AA,Crown,1.25,0.75,0.75,4,"Engine Oil Drain Plug",0.06
83500797,Crown,3.75,3.75,1.25,10.83,"Timing Chain Damper",0.40
RT34038,Crown,54.00,5.00,3.00,140,Bumper,10.60
68003707AA,Crown,8.50,7.75,5.00,91.67,"Brake Caliper",8.10
52000177K,Crown,59.25,7.50,6.25,165,"Bumper Kit",22.00
5013723AB,Crown,4.50,4.50,2.00,32.5,"Liftgate Glass Hinge",0.63
52040348,Crown,7.00,7.00,1.00,15.83,"Leaf Spring Plate",3.40
AP1000,Crown,3.25,3.25,1.50,56.67,"Ignition Switch Actuator",1.00
5085505AD,Crown,5.00,5.00,2.50,12.5,"Coil Spring Isolator",0.25
55135890AF,Crown,30.25,1.50,0.75,35,"Door Glass Weatherstrip",0.60
83500513,Crown,1.00,1.00,0.25,0.83,"Fill Or Drain Plug Gasket",0.10
5183448AA,Crown,3.25,3.25,1.25,21.67,"Wire Harness",0.10
5184894AA,Crown,2.50,2.50,0.25,6.33,"Thermostat Seal",0.20
991021X,Crown,4.25,4.25,1.75,30,"Synchronizer Repair Kit",0.70
SR4GS,Crown,11.50,10.25,0.50,6.25,"Transmission Gasket & Seal Kit",0.20
52100128,Crown,27.00,8.50,2.00,30,"Fuel Tank Strap",1.70
68001386AA,Crown,10.00,5.00,2.00,141.67,"Piston Ring Set",0.60
52852912K,Crown,20.50,13.00,4.50,66.67,"Transmission Pan Kit",5.60
A10469,Crown,4.25,4.00,1.75,131.67,"Main Shaft Gear",2.40
57010187AC,Crown,13.50,9.00,8.00,126.67,Mirror,3.70
5165708AA,Crown,16.00,10.25,6.50,48.33,"Coolant Bottle",1.31
SP143877AB,Crown,3.75,1.00,0.75,10,"Spark Plug",0.13
RT26019,Crown,21.00,17.50,10.00,148.33,"Trail Can Tool Box",18.50
52109947AE,Crown,7.50,7.00,5.50,133.33,"Hub Assembly",10.00
56004879,Crown,4.00,2.50,2.50,30.83,"Fuel Gauge",0.20
68313815AA,Crown,4.00,4.00,4.00,108.33,"Water Pump",1.60
4884762AA,Crown,22.00,9.00,0.50,15,"Valve Cover Gasket",0.30
BKT4M,Crown,8.00,4.50,6.00,165,"Transmission Master Overhaul Kit",3.10
4761068,Crown,7.00,4.00,4.00,183.33,"Input Gear",3.30
2312425000,Crown,6.25,6.25,2.25,48.33,"Harmonic Balancer",4.60
5019536AA,Crown,11.25,7.00,4.50,45,"Brake Shoe Set",5.70
83501113,Crown,2.25,2.25,0.25,2.33,"Spindle Bearing Spacer",0.10
2944581,Crown,4.00,0.75,0.50,1.42,"Drum Brake Adjuster Spring",0.10
68065923K,Crown,18.25,13.50,8.00,78.33,"Transmission Pan Kit",7.20
RT28082,Crown,9.25,4.00,2.00,24,"LED Light Bar Hood Bracket Set",2.40
J0946177,Crown,1.00,1.00,0.75,2.5,"Pedal Bushing",0.10
T170BSG,Crown,12.75,12.00,1.50,68.33,"Transmission Overhaul Kit",3.40
A7443,Crown,11.00,9.50,9.50,7.33,"Transfer Case Gasket Set",0.20
68093232AA,Crown,5.00,3.75,0.02,8,"Exhaust Manifold Gasket",0.10
5033313AA,Crown,3.50,1.25,1.25,9.17,"Coolant Temperature Sensor",0.10
53010,Crown,5.50,1.50,1.25,4.17,"Clutch Alignment Tool",0.10
53054313,Crown,31.00,3.50,3.00,113.33,"Drag Link",7.40
83500369,Crown,4.25,4.00,1.75,15,"Steering Box Seal Kit",0.40
A474,Crown,1.50,1.00,1.00,1.15,"Wheel Stud",0.10
55155679AD,Crown,15.00,7.00,2.00,18.33,"Fender Flare Retainer",0.30
52038016R,Crown,24.00,0.75,0.75,18.33,"Power Steering Return Hose",0.30
