SKU,Title,Price,Description,"Main Image","Inventory Qty",weight,"Weight Unit",Cost
015-01,"Tuffy Speaker & Storage Lockbox Set With Roll Bar Cutout Black | 1955-1991 CJ5, CJ7, Wrangler YJ, 015-01","382.95 USD",". turn That Unused Space On Top Of The Wheel Wells Into A Convenient And Secure Place To Mount 6X9 Speakers, And Lock Up Valuables. This 16-Gauge Steel Lockbox Set Comes Equipped With A Removable Partition Which Divides The Speaker And Storage Area.product Details:pry-Guard Locking System Is Strengthened By A Hemmed Lid And 10 Tumbler Double Bitted Keyfor Slanted Roll Bar, Boxes Are Cut Out For Roll Barsold In Pairsfits 6X9 Speakers (Speakers Not Included)Durable Texture Powder Coat Finishgrade 8 Mounting Hardware Providedexterior Dimensions:(Length Is Tapered) 24 3/8L To 19 1/2L, (Length Of Cut-Out 11 5/8L), 8 5/8W (At Widest), 9 1/2Hinterior Dimensions:storage Compartment: 14 3/4L, 5W, 9Hmounting:mounts Through Wheel Wells, Drilling Required.parts Included:speaker & Storage Lockbox Set With Roll Bar Cutout, Black | Tuffy Speaker & Storage Lockbox Set With Roll Bar Cutout Black | 1955-1991 CJ5, CJ7, Wrangler YJ, 015-01",https://www.morris4x4center.com/media/catalog/product//p/d/pdint_2_image_60371.15718161340789.jpg,8,42,lb,"315.98 USD"
034-02,"Tuffy Standard Rear Drink Holder, Light Gray, 034-02","27.95 USD",". the Tuffy Standard Rear Drink Holder Is Great For Heavy Equipment, Tractors, Or Add To The Back Of Any Deluxe Stereo Or Series Ii Console. The Mounting Hardware And Rubber Drink Fingers To Reduce Vibration Are Included.product Details:2 Oversized 3 1/2"" Drink Holesrubber Drink Finger To Prevent Rattlingmounting Hardware Included16 Gauge Steel Welded Constructiondurable Light Gray Powder Coat Finish Universal Design Mounts To Any Flat Surfaceparts Included:(1) Tuffy Standard Rear Drink Holder - Light Grayhardware | Tuffy Standard Rear Drink Holder, Light Gray, 034-02",https://www.morris4x4center.com/media/catalog/product//p/d/pdint_2_image_60674.15718164035316.jpg,6,2,lb,"23.1 USD"
034-03,"Tuffy Standard Rear Drink Holder, Charcoal, 034-03","27.95 USD",". the Tuffy Standard Rear Drink Holder Is Great For Heavy Equipment, Tractors, Or Add To The Back Of Any Deluxe Stereo Or Series Ii Console. The Mounting Hardware And Rubber Drink Fingers To Reduce Vibration Are Included.product Details:2 Oversized 3 1/2"" Drink Holesrubber Drink Finger To Prevent Rattlingmounting Hardware Included16 Gauge Steel Welded Constructiondurable Charcoal Powder Coat Finish Universal Design Mounts To Any Flat Surfaceparts Included:(1) Tuffy Standard Rear Drink Holder - Charcoalhardware | Tuffy Standard Rear Drink Holder, Charcoal, 034-03",https://www.morris4x4center.com/media/catalog/product//p/d/pdint_2_image_60680.15718164063039.jpg,20,2,lb,"23.1 USD"
034-04,"Tuffy Standard Rear Drink Holder in Spice Brown, 034-04","27.95 USD","Tuffy Standard Rear Drink Holder Spicefits:universalproduct Information:mounts To Any Flat Surface. Great For Heavy Equipment, Tractors, Or Add To The Back Of Any Deluxe Stereo Or Series Ii Console. Mounting Hardware And Rubber Drink Fingers To Reduce Vibration Are Included.features:oversized 3 1/2 Drink Holes Rubber Drink Finger To Prevent Rattling Mounting Hardware Included 16 Gauge Steel Welded Construction Durable Powder Coat Finish Universal Design Mounts To Any Flat Surfacedimensions: 4 1/2L, 7 7/8W, 3H, 3 1/2 Holes For Drinksmounting:mounts To Any Flat Surface Or To The Back Of Any Deluxe Stereo Or Series Ii Console. Holes Are Pre-Drilled In Console. | Tuffy Standard Rear Drink Holder in Spice Brown, 034-04",https://www.morris4x4center.com/media/catalog/product//p/d/pdint_2_image_60684.15718164094792.jpg,6,2,lb,"23.1 USD"
034-05,"Tuffy Standard Rear Drink Holder, Light Tan, 034-05","27.95 USD",". the Tuffy Standard Rear Drink Holder Is Great For Heavy Equipment, Tractors, Or Add To The Back Of Any Deluxe Stereo Or Series Ii Console. The Mounting Hardware And Rubber Drink Fingers To Reduce Vibration Are Included.product Details:2 Oversized 3 1/2"" Drink Holesrubber Drink Finger To Prevent Rattlingmounting Hardware Included16 Gauge Steel Welded Constructiondurable Light Tan Powder Coat Finish Universal Design Mounts To Any Flat Surfaceparts Included:(1) Tuffy Standard Rear Drink Holder - Light Tanhardware | Tuffy Standard Rear Drink Holder, Light Tan, 034-05",https://www.morris4x4center.com/media/catalog/product//p/d/pdint_2_image_60687.15718164136180.jpg,4,2,lb,"23.1 USD"
4443609,"Jeep Mopar Touch Up Paint 5Oz Spray Can, Black | 2006-2012, 04443609","17.99 USD","Important Notes:sold Individually. this Mopar Touch Up Paint 5Oz Spray Can Is Perfect To Fix Those Small Little Bumps And Scratches On Your Jeep. This Small Spray Bottle Provides A Quick And Easy Way To Fix Small Mishaps And Is The Exact Factory Color To Match Your Jeep.product Details:oe Replacement Parttouch Up Paint5Oz Spray Candimensions:length: 6""width: 2""height: 2""weight: .4 Lbsparts Included:(1) Mopar Touch Up Paint 5Oz Spray Can - Black | Jeep Mopar Touch Up Paint 5Oz Spray Can, Black | 2006-2012, 04443609",https://www.morris4x4center.com/media/catalog/product//p/d/pdint_2_image_53873.15718165644139.jpg,5,0.4,lb,"7.85 USD"
4864105,"Jeep Mopar Touch Up Paint 5Oz Spray Can, Stone White | 2004-2012, 04864105","14.2 USD","Mopar Touch Up Paint Tube Stone White Clear Coatfits:2007-2010 Jeep Wrangler Jk2007-2010 Jeep Wrangler Unlimited Jk2004-2006 Jeep Wrangler Tj2004-2006 Jeep Wrangler Unlimited Tjl2004-2007 Jeep Liberty Kj2006-2010 Jeep Commander Xk2004 Jeep Grand Cherokee Wj2005-2012 Jeep Grand Cherokee Wk2007-2012 Jeep Patriot Mk2007-2012 Jeep Compass Mkproduct Information:a 5Oz Spray Bottle Of Touch Up Paint With Small Brush For Your Jeep To Fix Those Small Little Bumps And Scratches On Your Jeep. This Makes A Great Jeep Accessory, A Quick And Easy Way To Fix The Small Mishaps With A Smallspray Can And The Exact Factory Color To Match Your Jeep. | Jeep Mopar Touch Up Paint 5Oz Spray Can, Stone White | 2004-2012, 04864105",https://www.morris4x4center.com/media/catalog/product//p/d/pdint_2_image_53923.15718166090845.jpg,8,0.4,lb,"10.2 USD"
04889572AA,"Jeep Mopar Touch Up Paint 5Oz Spray Can, Bright Silver Metallic Clear Coat | 2006-2007 Wrangler TJ, Grand Cherokee WK, Commander XK, 04889572AA","17.99 USD","Important Notes:sold Individually. this Mopar Touch Up Paint 5Oz Spray Can Is Perfect To Fix Those Small Little Bumps And Scratches On Your Jeep. This Small Spray Bottle Provides A Quick And Easy Way To Fix Small Mishaps And Is The Exact Factory Color To Match Your Jeep.product Details:oe Replacement Parttouch Up Paint5Oz Spray Candimensions:length: 6""width: 2""height: 2""weight: .4 Lbsparts Included:(1) Mopar Touch Up Paint 5Oz Spray Can - Bright Silver Metallic Clear Coat | Jeep Mopar Touch Up Paint 5Oz Spray Can, Bright Silver Metallic Clear Coat | 2006-2007 Wrangler TJ, Grand Cherokee WK, Commander XK, 04889572AA",https://www.morris4x4center.com/media/catalog/product//p/d/pdint_2_image_53945.15718166279519.jpg,1,0.4,lb,"7.85 USD"
04889867AA,"Jeep Mopar Touch Up Paint 5 Oz Spray Can, Midnight Blue Metallic | 2006-2007 TJ,TJL,KJ,XK,WK , 04889867AA","16.99 USD","Mopar Touch Up Paint 5 Oz Spray Can Midnight Blue Metallic Fits:2006 Jeep Wrangler Tj2006 Jeep Wrangler Unlimited Tjl2006 Jeep Liberty Kj2006-2007 Jeep Commander Xk2006-2007 Jeep Grand Cherokee Wkproduct Information:a 5Oz Spray Bottle Of Touch Up Paint For Your Jeep To Fix Those Small Little Bumps And Scratches On Your Jeep. This Makes A Great Jeep Accessory, A Quick And Easy Way To Fix The Small Mishaps With A Small Spray Can And The Exact Factory Color To Match Your Jeep. Years Covered:2006 And 2007 | Jeep Mopar Touch Up Paint 5 Oz Spray Can, Midnight Blue Metallic | 2006-2007 TJ,TJL,KJ,XK,WK , 04889867AA",https://www.morris4x4center.com/media/catalog/product//p/d/pdint_2_image_53839.15718166496528.jpg,2,1,lb,"7.62 USD"
04889922AA,"Jeep Mopar Touch Up Paint 5Oz Spray Can, Mineral Gray Metallic | 2005-2013 Commander XK, Grand Cherokee WK, 04889922AA","18.99 USD","Mopar Touch Up Paint 5Oz Spray Can, Mineral Grey Metallic Fits:2005-2013 Jeep Grand Cherokee Wk2006-2008 Jeep Commander Xkdimensions:length: .94""width: .70""height: .47""weight: Under 1 Lbproduct Information:touch Up Paint Spray Mineral Gray Metallic Clear Coat A 5Oz Spray Of Touch Up Pain For Your Jeep Commander Or Grand Cherokee To Fix Those Small Little Bumps And Scratches On Your Jeep. This Makes A Great Jeep Accessory, A Quick And Easy Way To Fix The Small Mishaps With A Small Spray Bottel And The Exact Factory Color To Match Your Jeep Commander Or Grand Cherokee. Years Covered:2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012 And 2013 | Jeep Mopar Touch Up Paint 5Oz Spray Can, Mineral Gray Metallic | 2005-2013 Commander XK, Grand Cherokee WK, 04889922AA",https://www.morris4x4center.com/media/catalog/product//p/d/pdint_2_image_53852.15718166629413.jpg,13,0.45,lb,"9.89 USD"
