Number,Width,Length,Height,Price,Description,Weight
J3250733,3.00,3.00,0.50,1.47,"Wheel Bearing Seal",0.10
J8134088,1.75,1.75,0.13,5.83,"Thrust Bearing Washer",0.10
5083673AB,13.00,13.00,3.00,76.67,"Pinion Shim Kit",1.81
35AXCG,9.25,10.50,0.12,4.33,"Differential Cover Gasket",0.10
4884899AB,3.75,4.00,3.75,6.67,"Oil Filter",0.90
CC10309,9.00,13.00,7.50,45.15,"Cab Cover",3.69
3507678,1.50,1.50,0.75,5.83,"Pinion Crush Sleeve",0.10
JY013361,3.25,16.50,0.75,7.5,"Accessory Drive Belt",0.20
D44YMASKIT,6.00,8.00,4.50,316.67,"Differential Overhaul Kit",3.50
TK16,10.00,14.00,5.50,66.67,"Tune Up Kit",3.00
5273141AB,11.25,11.75,1.50,58.33,"Brake Rotor",17.20
4313062,0.75,1.25,0.75,0.83,"Brake Shoe Retainer Spring",0.10
J4004919,0.75,0.75,0.75,0.83,Retainer,0.10
5290829AA,5.25,19.25,5.00,70,"Tension Strut",10.00
J8124691,9.00,30.50,2.00,66.67,"Complete Engine Gasket Set",1.80
J0941886,4.00,4.50,1.75,50.27,"Piston Ring Set",0.40
J0637936,1.25,1.25,0.75,1.5,"Shock Absorber Bushing",0.10
XYZ1993F,14.00,14.00,3.00,275,"Clutch Kit",15.20
CT20335,29.75,50.00,6.00,737.75,"Complete Top",49.00
J8134021,2.25,2.75,0.12,2,"Synchronizer Spring",0.02
J8128190,11.00,30.00,3.00,60,"Engine Gasket Set",1.60
T550MK,3.75,3.75,1.75,81.67,"Small Parts Master Kit",0.70
AX15MASKIT,6.00,8.00,4.25,400,"Transmission Master Overhaul Kit",6.90
52060290K,8.00,13.50,5.00,58.33,"Trailer Hitch Kit",12.30
J8128462,0.25,0.75,0.25,0.43,"Distributor Gear Pin",0.02
SP350050,4.00,4.00,1.75,56.67,"Small Parts Kit",0.20
J4006204,1.00,2.50,0.50,1.5,"Headlight Adjusting Screw",0.10
J0915664,7.25,7.25,0.75,7.92,"Steering Knuckle Seal Kit",0.60
5FW77DX9AC,14.00,38.00,4.00,60,"Fender Flare",1.20
52090474AB,2.75,5.75,2.25,7.5,"Sway Bar Bushing Bracket",1.10
J0910901,3.00,3.00,2.00,30,"King Pin Cap",0.80
T90MASKIT,12.00,13.00,1.75,63.33,"Transmission Master Overhaul Kit",3.20
J0810584,11.25,1.25,23.00,56.67,"Complete Engine Gasket Set",1.20
55396458AH,13.50,18.00,7.00,110,"Tail Light",3.90
J4487455,1.25,2.00,1.25,16.67,"Brake Booster Check Valve",0.10
