Number,Vendor,Length,Width,Height,Price,Description,Weight
J3250733,Crown,3.00,3.00,0.50,1.47,"Wheel Bearing Seal",0.10
J8134088,Crown,1.75,1.75,0.13,5.83,"Thrust Bearing Washer",0.10
5083673AB,Crown,13.00,13.00,3.00,76.67,"Pinion Shim Kit",1.81
35AXCG,Crown,10.50,9.25,0.12,4.33,"Differential Cover Gasket",0.10
4884899AB,Crown,4.00,3.75,3.75,6.67,"Oil Filter",0.90
CC10309,Crown,13.00,9.00,7.50,45.15,"Cab Cover",3.69
3507678,Crown,1.50,1.50,0.75,5.83,"Pinion Crush Sleeve",0.10
JY013361,Crown,16.50,3.25,0.75,7.5,"Accessory Drive Belt",0.20
D44YMASKIT,Crown,8.00,6.00,4.50,316.67,"Differential Overhaul Kit",3.50
TK16,Crown,14.00,10.00,5.50,66.67,"Tune Up Kit",3.00
5273141AB,Crown,11.75,11.25,1.50,58.33,"Brake Rotor",17.20
4313062,Crown,1.25,0.75,0.75,0.83,"Brake Shoe Retainer Spring",0.10
J4004919,Crown,0.75,0.75,0.75,0.83,Retainer,0.10
5290829AA,Crown,19.25,5.25,5.00,70,"Tension Strut",10.00
J8124691,Crown,30.50,9.00,2.00,66.67,"Complete Engine Gasket Set",1.80
J0941886,Crown,4.50,4.00,1.75,50.27,"Piston Ring Set",0.40
J0637936,Crown,1.25,1.25,0.75,1.5,"Shock Absorber Bushing",0.10
XYZ1993F,Crown,14.00,14.00,3.00,275,"Clutch Kit",15.20
CT20335,Crown,50.00,29.75,6.00,737.75,"Complete Top",49.00
J8134021,Crown,2.75,2.25,0.12,2,"Synchronizer Spring",0.02
J8128190,Crown,30.00,11.00,3.00,60,"Engine Gasket Set",1.60
T550MK,Crown,3.75,3.75,1.75,81.67,"Small Parts Master Kit",0.70
AX15MASKIT,Crown,8.00,6.00,4.25,400,"Transmission Master Overhaul Kit",6.90
52060290K,Crown,13.50,8.00,5.00,58.33,"Trailer Hitch Kit",12.30
J8128462,Crown,0.75,0.25,0.25,0.43,"Distributor Gear Pin",0.02
SP350050,Crown,4.00,4.00,1.75,56.67,"Small Parts Kit",0.20
J4006204,Crown,2.50,1.00,0.50,1.5,"Headlight Adjusting Screw",0.10
J0915664,Crown,7.25,7.25,0.75,7.92,"Steering Knuckle Seal Kit",0.60
5FW77DX9AC,Crown,38.00,14.00,4.00,60,"Fender Flare",1.20
52090474AB,Crown,5.75,2.75,2.25,7.5,"Sway Bar Bushing Bracket",1.10
J0910901,Crown,3.00,3.00,2.00,30,"King Pin Cap",0.80
T90MASKIT,Crown,13.00,12.00,1.75,63.33,"Transmission Master Overhaul Kit",3.20
J0810584,Crown,1.25,11.25,23.00,56.67,"Complete Engine Gasket Set",1.20
55396458AH,Crown,18.00,13.50,7.00,110,"Tail Light",3.90
J4487455,Crown,2.00,1.25,1.25,16.67,"Brake Booster Check Valve",0.10
