REPLACES_PART,DESCRIPTION_NOTUPDATE,QUANTITY
AMC20YOKEUBK      ,U-BOLT YOKE KIT,52
AM20BK            ,AXLE BEARING KT,13
AP1000            ,ACTUATOR PIN   ,917
AP2000            ,IGNITION PIN   ,747
AXGS              ,GASKET+SEAL KIT,17
AX15BK            ,BRG & SEAL KIT ,11
AX15GS            ,GASKET+SEAL KIT,67
AX15MASKIT        ,TRANS. OVERHAUL,-15
AX4EAX5EMASKIT    ,TRANS. OVERHAUL,9
AX5SP             ,AX5 SMALL PARTS,11
AX55X2            ,5TH GEAR KIT   ,3
AX5LMASKIT        ,TRANS. OVERHAUL,0
A1000             ,WASHER         ,3290
A10469            ,"GEAR, MAINSHAFT",119
A1106             ,YOKE           ,193
A1197             ,"HOSE,OIL FILTER",354
A1198             ,"HOSE,OIL FILTER",1090
A1242             ,"HANDLE, BRAKE  ",56
A1301             ,"CABLE, CHOKE   ",0
A1397             ,BOLT           ,435
A1445             ,YOKE           ,64
A147              ,BOLT           ,23404
A15044            ,"GEAR, OUTPUT, F",69
A15045            ,"GEAR, OUTPUT, F",139
A1542             ,GASKET KIT     ,51
A1583             ,BUSHING        ,8415
A17702            ,"DRIVE, STARTER ",-1
A2250             ,WEATHERSTRIP   ,1988
A2389             ,"HANDLE, CORNER ",102
A2586             ,WIPER ASSEMBLY ,166
A2754             ,"BRACKET, TOP   ",60
A2934B            ,MIRROR ARM     ,17
A2934CR           ,MIRROR HEAD    ,124
A3051             ,"SOCKET, DOOR   ",243
A3051K            ,SOCKET KIT     ,71
A3110             ,"STRAP, BOW     ",8
A410              ,WASHER         ,581
A4127             ,STRAP SET      ,140
A474              ,"BOLT, HUB RIGHT",17701
A490K             ,U-BOLT KIT     ,1543
A495              ,"SHAFT, PEDAL   ",-7
A500              ,BRACKET        ,221
A519              ,MAINSHAFT      ,51
A5294             ,ROTOR          ,20
A5295             ,"CAP, DISTRIBUTO",43
A5554             ,"SHAFT,MAINDRIVE",228
A556              ,MASTER CYLINDER,95
A568              ,PLATE          ,3
A6118             ,MUFFLER        ,0
A612              ,SPRING ASSY    ,90
A614              ,"LEAF SPRING, R ",53
A6318             ,SYNCHRONIZER   ,0
A633              ,"NUT, STRG.WHEEL",569
A6742K            ,"KIT, HORN      ",730
A6746             ,MAIN BEARING SE,0
A6747             ,MAIN BEARING SE,5
A6748             ,MAIN BEARING SE,2
A6760             ,"SHIMS, STEERING",3228
A6798             ,MAIN BEARING SE,1
A679840           ,MAIN BRG.SET.04,0
A692N             ,"SOCKET, SPINDLE",237
A7225             ,"SWITCH, STARTER",93
A7234             ,"BEARING, CONN. ",12
A7235             ,"BEARING, CONN. ",13
A7236             ,"BEARING, CONN. ",12
A7237             ,"BEARING, CONN. ",4
A739              ,CLUSTER GEAR   ,0
A7443             ,GASKET SET     ,255
A7445             ,"SEAL KIT, OIL  ",116
A754              ,ECCENTRIC      ,420
A792              ,"STRAP, R&P     ",6048
A8249             ,BELLCRANK      ,315
A856              ,"PIN, BELLCRANK ",1443
A867K             ,WASHER & NUT KI,1276
A878              ,BUSHING        ,3726
A8838             ,TUBE & WORM    ,15
A901              ,"AXLE SHAFT, RIG",365
A902              ,"AXLE SHAFT,LEFT",320
A916              ,BEARING        ,11
A924              ,"BEARING, INT.  ",818
A9332             ,"DRUM, EMERGENCY",-5
A935              ,YOKE           ,0
A976              ,SNAP RING      ,4841
A998              ,SHAFT (3/4")   ,255
A998X             ,"SHAFT KIT, 3/4""",39
BA10GS            ,GASKET+SEAL KIT,31
BA105MASKIT       ,TRANS. OVERHAUL,0
BBD42S            ,"CARBURETOR, NEW",66
BELT1B            ,"SEAT BELT, REAR",738
BELT2B            ,"SEAT BELT,FRONT",-25
BELT3B            ,"SEAT BELT,FRONT",473
BHK1              ,BRAKE HOSE KIT ,9
BHK2              ,BRAKE HOSE KIT ,17
BHK3              ,BRAKE HOSE KIT ,17
BHK4              ,BRAKE HOSE KIT ,21
BHK5              ,BRAKE HOSE KIT ,17
BHK6              ,BRAKE HOSE KIT ,3
BHK7              ,BRAKE HOSE KIT ,20
BHK8              ,BRAKE HOSE KIT ,2
BKAX5E            ,BRG. & SEAL KIT,21
BKAX5L            ,BRG & SEAL KIT ,24
BKBA10            ,BRG & SEAL KIT ,3
BKGM10B           ,BEARING KIT    ,21
BKNV1500          ,BEARING KIT    ,3
BKT170            ,TRANS. OVERHAUL,-20
BKT4M             ,MASTER BRG. KIT,28
BKT5M             ,MASTER BRG. KIT,21
BRT10035          ,BOWLESS TOP    ,22
BRT10037          ,BOWLESS TOP    ,3
BRT10135T         ,BOWLESS TOP    ,20
BRT20035T         ,BOWLESS SOFT TO,9
BRT20135T         ,BOWLESS SOFT TO,10
BT10001           ,BEACH TOPPER   ,0
BT10101           ,BEACH TOPPER   ,0
BT10201           ,BEACH TOPPER   ,3
BT20001           ,BEACH TOPPER   ,10
BT20009           ,BEACH TOPPER   ,-2
BT20015           ,BEACH TOPPER   ,6
BT30009           ,BEACH TOPPER   ,11
BT30015           ,BEACH TOPPER   ,78
BT30037           ,BEACH TOPPER   ,0
BT40015           ,BEACH TOPPER   ,7
BT40035           ,BEACH TOPPER   ,0
BT40037           ,BEACH TOPPER   ,0
B0015375          ,BELT           ,0
B0015387          ,BELT           ,3
B0015402          ,BELT           ,0
B0015491          ,BELT           ,64
CAK1              ,CONTROL ARM KIT,8
CAK10             ,CONTROL ARM KIT,19
CAK11             ,CONTROL ARM KIT,26
CAK12             ,CONTROL ARM KIT,2
CAK13             ,CONTROL ARM KIT,13
CAK14             ,CONTROL ARM KIT,14
CAK15             ,CONTROL ARM KIT,0
CAK16             ,CONTROL ARM KIT,0
CAK2              ,CONTROL ARM KIT,6
CAK3              ,CONTROL ARM KIT,24
CAK4              ,CONTROL ARM KIT,11
CAK5              ,CONTROL ARM KIT,10
CAK7              ,"LINK KIT, REAR ",18
CAK8              ,"LINK KIT, REAR ",17
CA10115           ,COVER ALL KIT  ,0
CA10215           ,COVER ALL KIT  ,0
CA10335           ,COVER ALL KIT  ,0
CA10337           ,COVER ALL KIT  ,-1
CBXEF230AB        ,BALL JOINT SET ,649
CB10011           ,COMBO BEACH TOP,19
CB10015           ,COMBO BEACH TOP,1
CB10037           ,COMBO BEACH TOP,3
CB20011           ,COMBO BEACH TOP,6
CB20015           ,COMBO BEACH TOP,-20
CB20037           ,COMBO BEACH TOP,12
CB30011           ,COMBO BEACH TOP,21
CB30035           ,COMBO BEACH TOP,0
CB30111           ,COMBO BEACH TOP,1
CB30135           ,COMBO BEACH TOP,0
CB30136           ,COMBO BEACH TOP,0
CC10009           ,"CAB COVER, GRAY",21
CC10109           ,"CAB COVER, GRAY",-39
CC10209           ,"CAB COVER, GREY",-19
CC10309           ,"CAB COVER, GRAY",-12
CC10509           ,CAB ONLY COVER ,0
CC10609           ,CAB ONLY COVER ,16
CC10709           ,CAB COVER 2 DR ,0
CC10809           ,CAB COVER 4 DR ,-2
CH1               ,BEVERAGE HOLDER,-87
CJGTSE1           ,GAS TANK STRAP ,678
CJGTS3            ,"STRAP KIT, FUEL",2
CJSUXL1           ,SENDING UNIT   ,0
CT20009           ,"TOP,COMPLTE GRY",0
CT20009T          ,"TOP,COMP W/TINT",1
CT20015           ,"TOP,COMPLTE BLK",1
CT20015T          ,"TOP,COMP W/TINT",0
CT20035T          ,"TOP,COMP W/TINT",-4
CT20037           ,"TOP,COMP SPICE ",1
CT20037T          ,"TOP,COMP W/TINT",0
CT20135           ,"TOP,COMP BLACK ",7
CT20136           ,"TOP,COMP KHAKI ",-1
CT20137           ,"TOP,COMP. SPICE",0
CT20235T          ,"TOP,COMP W/TINT",10
CT20236T          ,"TOP,COMP W/TINT",0
CT20237T          ,"TOP,COMP W/TINT",-2
CT20335           ,"TOP,COMP BLACK ",0
CT20336           ,"TOP,COMP KHAKI ",0
CT20337           ,"TOP,COMP SPICE ",0
CT20435T          ,"TOP,COMP W/TINT",0
CT20436T          ,"TOP,COMP W/TINT",0
CT20437T          ,"TOP,COMP W/TINT",9
C725MASKIT        ,BEARING & SEALS,13
C825MASKIT        ,MASTER OVERHAUL,6
C925MASKIT        ,MASTER OVERHAUL,16
DF100YJ           ,"DOOR FRAMES, YJ",12
DF200TJ           ,"DOOR FRAMES, TJ",-6
DS10015           ,"DOOR SKINS, BLK",5
DS10037           ,"DOOR SKINS, SPC",0
DS10115           ,"DOOR SKINS, BLK",19
DS10135           ,"DOOR SKINS, BLK",0
DS10137           ,"DOOR SKINS, SPC",0
D18EMASKIT        ,"MASTER KIT, D18",13
D18LMASKIT        ,"MASTER KIT, D18",5
D20MASKIT         ,"MASTER KIT, D20",0
D30EMASKIT        ,MASTER OVERHAUL,39
D30EPBK           ,"KIT, PINION BRG",8
D30JK488          ,GEAR & PINION  ,2
D30LMASKIT        ,MASTER OVERHAUL,6
D30LPBK           ,"KIT, PINION BRG",2
D300BK            ,BEARING KIT    ,1
D300GS            ,GASKET & SEAL S,404
D300MASKIT        ,MASTER OVERHAUL,-3
D300YOKEUBK       ,U-BOLT YOKE KIT,75
D3044YOKEUBK      ,U-BOLT YOKE KIT,60
D30456JK          ,GEAR + PINION  ,2
D30456TJ          ,GEAR & PINION  ,0
D30488TJ          ,GEAR & PINION  ,2
D35MASKIT         ,MASTER OVERHAUL,18
D35PBK            ,"KIT, PINION BEA",10
D35YOKEUBK        ,U-BOLT YOKE KIT,176
D35488            ,GEAR & PINION  ,2
D35KJMASKIT       ,MASTER OVERHAUL,5
D35WJABK          ,AXLE BEARING KI,0
D35WJBK           ,AXLE BRG KIT   ,85
D35WJMASKIT       ,MASTER OVERHAUL,16
D44JKBK           ,BEARING KIT    ,83
D44JKMASKIT       ,REPAIR KIT     ,18
D44JK410R         ,GEAR & PINION  ,5
D44JK456F         ,GEAR & PIN 4.56,2
D44JK456R         ,GEAR & PIN 4.56,2
D44JK488F         ,GEAR & PIN 4.88,3
D44JK488R         ,GEAR & PIN 4.88,1
D44JK513F         ,GEAR & PIN 5.13,2
D44JK513R         ,GEAR & PIN 5.13,3
D44JK538F         ,GEAR & PIN 5.38,3
D44JK538R         ,GEAR & PIN 5.38,3
D44TJBK           ,AXLE BEARING KI,69
D44TJMASKIT       ,MASTER OVERHAUL,46
D44TJDBBK         ,AXLE BRG. KIT  ,17
D44TJDBMASKIT     ,MASTER OVERHAUL,20
D44WJMASKIT       ,MASTER OVERHAUL,21
D44WKMASKIT       ,MASTER OVERHAUL,8
D44YMASKIT        ,MASTER OVERHAUL,11
D44ZMASKIT        ,MASTER OVERHAUL,20
E0021276          ,MUFFLER        ,13
E0021337          ,MUFFLER        ,18
E0021357          ,MUFFLER        ,10
E0021456          ,MUFFLER        ,35
E0022799          ,MUFFLER        ,7
E0031362          ,"SEAL, EXHAUST  ",783
E0036152          ,"HANGER, EXHAUST",14
E0045378          ,TAILPIPE       ,23
E0045379          ,TAILPIPE       ,10
E0054079          ,TAILPIPE       ,6
E0054227          ,TAILPIPE       ,123
E0055188          ,TAIL PIPE      ,3
E0055277AA        ,"PIPE, FRONT    ",5
FC10009           ,"CAR COVER, GRAY",-11
FC10109           ,"CAR COVER, GRAY",10
FC10209           ,"CAR COVER, GRAY",1
FC10309           ,"CAR COVER, GRAY",34
FW80PX9           ,"HANDLE, WINDOW ",2070
F40965            ,WHEEL CYLINDER ,2
F88BI             ,DIFF. REPAIR KI,0
G0004027          ,SUPPORT        ,13
G0004256          ,"SUPPORT, HOOD  ",14
G0004257          ,"SUPPORT, HOOD  ",5
G0004856          ,"SUPPORT, LIFT,R",19
G0004857          ,"SUPPORT, LIFT,L",8
G0004956          ,SUPPORT        ,0
G0004958          ,SUPPORT        ,6
G103905           ,AXLE KEY       ,420
G107823           ,NUT            ,68
G114499           ,NUT            ,932
G120368           ,NUT            ,3746
G120638           ,5/16" LOCK WASH,1520
G131207           ,"WASHER, LOCK   ",813
G271287           ,GREASE FITTING ,1296
G271444           ,SCREW          ,3985
G444618           ,PLUG           ,447
G455313           ,PIN            ,1534
G9416532          ,"NUT, LOCK      ",5118
G9433652          ,BELT           ,1
G9433653          ,"BELT, AIR PUMP ",22
G9436750          ,BULB           ,1562
HC2               ,HOOD CATCH KIT ,1497
HC4               ,HOOD CATCH KIT ,2163
HK8795YJ          ,"HARDWARE,SOFTOP",-26
H0061285          ,"HOSE, UPPER    ",12
H0061536          ,"HOSE, LOWER    ",6
H0061537          ,"HOSE, UPPER    ",24
H0061726          ,"HOSE, LOWER    ",15
H0061729          ,"HOSE, LOWER    ",1
H0069040          ,"HOSE, LOWER    ",17
H2540             ,"BRAKE KIT, LEFT",3
H2541             ,"BRAKE KIT,RIGHT",-1
H7064             ,BRAKE KIT      ,0
H7128             ,BRAKE KIT      ,151
H7149             ,BRAKE KIT      ,102
H7170             ,BRAKE KIT      ,177
JA000179          ,STUD & BRACKET ,98
JA000181          ,"STUD, CLUTCH   ",4400
JA000473          ,"BOLT, HUB, LEFT",14502
JA000476          ,"NUT, RIGHT HUB ",2504
JA000490          ,U-BOLT         ,703
JA000544          ,BRACKET        ,557
JA000557          ,"FITTING, BRAKE ",926
JA000779          ,"SEAL, OIL      ",1174
JA000795          ,WASHER         ,5158
JA000797          ,WASHER         ,8507
JA000798          ,"SHAFT, DIFFEREN",-2
JA000837          ,CLAMP          ,134
JA000857          ,"BRG, BELLCRANK ",897
JA000858          ,"SEAL, BELLCRANK",1016
JA000865          ,LOCK WASHER    ,4232
JA000866          ,"NUT, SPINDLE   ",2580
JA000867          ,LOCK WASHER    ,4406
JA000868          ,FLANGE         ,55
JA000954          ,"GASKET, ACCESS ",3006
JA000957          ,GASKET         ,1310
JA000970          ,"SPRING, SHIFT  ",2057
JA000972          ,"PIN, SHIFT     ",3908
JA000974          ,"SEAL, SHIFT ROD",5228
JA000987          ,BUSHING        ,2669
JA000990          ,WASHER         ,1536
JA000991          ,SNAP RING      ,710
JA001001          ,"PLATE, INTER.  ",-1
JA001007          ,"BEARING, OUTPUT",559
JA001116          ,"ARM, PITMAN    ",499
JA001126          ,DRAINCOCK      ,131
JA001134          ,GASKET         ,3083
JA001395          ,"INSULATOR, GENE",844
JA001410          ,"WASHER,MAINSHAF",469
JA001484          ,"CYLINDER, WHEEL",205
JA001488          ,"TUBE, BRAKE ""S""",597
JA001509          ,"GASKET,PTO     ",1150
JA001658          ,"ROTOR, DIST.   ",100
JA006156          ,"MOUNT, TRANS.  ",86
JA006753          ,"SHIM SET,OUTPUT",1465
JA006882          ,"SHIM KIT, KING ",954
JA007233          ,"BEARING, CONN. ",1
JA007361          ,GASKET         ,973
JA007835          ,GASKET SET     ,48
JA008445          ,"SHAFT, INTERMED",0
JA009307          ,"CAP, DISTRIBUTO",1903
JA014709          ,"NUT,U-BOLT,1/2""",393
JK060760          ,"BELT, SERPENTIN",24
JK060817          ,"BELT, SERPENTIN",-2
JK060882          ,BELT           ,0
JK060905          ,"BELT,SERPENTINE",13
JK060915          ,"BELT,SERPENTINE",148
JK061025          ,"BELT,SERPENTINE",0
JK061040          ,"BELT,SERPENTINE",44
JY013251          ,BELT           ,429
JY013271          ,"BELT,ALTERNATOR",5
JY013291          ,"BELT, AIR PUMP ",4
JY013361          ,BELT           ,50
JY013411          ,"BELT,ALTERNATOR",40
JY013421          ,BELT           ,14
JY013461          ,BELT           ,0
JY013475          ,BELT           ,371
JY013506          ,BELT           ,11
JY013541          ,"BELT, P/STEER  ",4
JY015332          ,BELT           ,7
JY017325          ,"BELT, IDLER FAN",5
JY017380          ,BELT           ,307
JY017465          ,"BELT, P/STEER  ",23
JY017561          ,"BELT, A/C      ",38
JY017570          ,"BELT, AIR CONDI",13
J0051575          ,"BEARING, OUTPUT",11
J0051577          ,"CUP, BEARING   ",29
J0052799          ,BEARING        ,105
J0052800          ,BEARING CUP    ,173
J0052877          ,"CUP, BEARING   ",51
J0052878          ,"BEARING, PINION",52
J0052879          ,"CUP, BEARING   ",15
J0052940          ,"BEARING, KING  ",73
J0052941          ,"CUP,KING PIN BR",66
